date,concept,close,return
2021-08-02,3D打印,2456.39,0.0
2021-08-02,5G概念,1930.02,0.0
2021-08-02,BIPV概念,1217.46,0.0
2021-08-02,C2M概念,1468.27,0.0
2021-08-02,CXO概念,1081.48,0.0
2021-08-02,EDA概念,1067.9,0.0
2021-08-02,ETC概念,1353.1,0.0
2021-08-02,HJT电池,891.74,0.0
2021-08-02,MCU芯片,1002.97,0.0
2021-08-02,MiniLED,992.78,0.0
2021-08-02,NMN概念,957.99,0.0
2021-08-02,OLED概念,1670.31,0.0
2021-08-02,PPP概念,440.24,0.0
2021-08-02,ST板块,1159.0,0.0
2021-08-02,一带一路,1741.9,0.0
2021-08-02,三代半导,1039.35,0.0
2021-08-02,上海自贸,1795.94,0.0
2021-08-02,乡村振兴,1210.15,0.0
2021-08-02,云游戏,861.16,0.0
2021-08-02,云计算,2441.9,0.0
2021-08-02,互联金融,2041.94,0.0
2021-08-02,人工智能,1307.55,0.0
2021-08-02,人脑工程,1000.0,0.0
2021-08-02,人造肉,1212.67,0.0
2021-08-02,代糖概念,961.94,0.0
2021-08-02,仿制药,1141.63,0.0
2021-08-02,体育概念,1335.3,0.0
2021-08-02,信息安全,2059.83,0.0
2021-08-02,储能,1144.0,0.0
2021-08-02,充电桩,3238.53,0.0
2021-08-02,光伏,3206.58,0.0
2021-08-02,光刻机,2342.48,0.0
2021-08-02,免疫治疗,1545.85,0.0
2021-08-02,养老概念,1151.04,0.0
2021-08-02,军民融合,1118.3,0.0
2021-08-02,分散染料,625.43,0.0
2021-08-02,创投概念,1414.85,0.0
2021-08-02,区块链,821.67,0.0
2021-08-02,医废处理,1013.11,0.0
2021-08-02,医美概念,1307.34,0.0
2021-08-02,华为鸿蒙,1028.24,0.0
2021-08-02,博彩概念,1612.16,0.0
2021-08-02,卫星导航,2282.91,0.0
2021-08-02,口罩防护,1624.93,0.0
2021-08-02,可燃冰,1253.47,0.0
2021-08-02,含B股,1413.56,0.0
2021-08-02,含H股,1463.85,0.0
2021-08-02,含可转债,1656.51,0.0
2021-08-02,固态电池,954.98,0.0
2021-08-02,国产软件,1962.62,0.0
2021-08-02,国防军工,1679.52,0.0
