concept,order_book_id,etf_name,priority
粮食概念,159825.XSHE,富国中证农业主题ETF,1
绿色建筑,512200.XSHG,南方中证全指房地产ETF,1
绿色电力,159611.XSHE,广发中证全指电力ETF,1
网红经济,159805.XSHE,传媒ETF,1
网络游戏,159869.XSHE,华夏中证动漫游戏ETF,1
职业教育,159805.XSHE,传媒ETF,1
肝炎概念,512010.XSHG,易方达沪深300医药ETF,1
胎压监测,515700.XSHG,平安中证新能源汽车产业ETF,1
腾讯概念,517200.XSHG,嘉实中证沪港深互联网ETF,1
航运概念,516530.XSHG,物流快递,1
节能环保,159790.XSHE,华夏中证内地低碳经济主题ETF,1
芯片,512480.XSHG,国联安半导体ETF,1
英伟达,515070.XSHG,华夏中证人工智能主题ETF,1
苹果概念,515070.XSHG,华夏中证人工智能主题ETF,1
虚拟现实,159781.XSHE,易方达中证科创创业50ETF,1
虚拟电厂,159611.XSHE,广发中证全指电力ETF,1
虫害防治,159825.XSHE,富国中证农业主题ETF,1
血氧仪,512170.XSHG,华宝中证医疗ETF,1
装配建筑,512200.XSHG,南方中证全指房地产ETF,1
财税数字,562030.XSHG,华宝中证信息技术应用创新产业ETF,1
超导概念,516020.XSHG,华宝化工ETF,1
超清视频,159805.XSHE,传媒ETF,1
超级电容,516160.XSHG,南方中证新能源ETF,1
跨境支付,562030.XSHG,华宝中证信息技术应用创新产业ETF,1
跨境电商,516530.XSHG,物流快递,1
车联网,515700.XSHG,平安中证新能源汽车产业ETF,1
辅助生殖,512170.XSHG,华宝中证医疗ETF,1
边缘计算,516510.XSHG,易方达中证云计算与大数据主题ETF,1
远程办公,562030.XSHG,华宝中证信息技术应用创新产业ETF,1
量子科技,515880.XSHG,国泰中证全指通信设备ETF,1
钒电池,516160.XSHG,南方中证新能源ETF,1
钙钛矿,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
钛金属,512400.XSHG,南方中证申万有色金属ETF,1
钠电池,516160.XSHG,南方中证新能源ETF,1
钴金属,512400.XSHG,南方中证申万有色金属ETF,1
铜缆连接,515880.XSHG,国泰中证全指通信设备ETF,1
锂电池,159840.XSHE,锂电池ETF工银,1
锂矿,159840.XSHE,锂电池ETF工银,1
镍金属,512400.XSHG,南方中证申万有色金属ETF,1
阿里概念,517200.XSHG,嘉实中证沪港深互联网ETF,1
降解塑料,159790.XSHE,华夏中证内地低碳经济主题ETF,1
雄安新区,516950.XSHG,基建ETF,1
雅江水电,159611.XSHE,广发中证全指电力ETF,1
页岩气,516160.XSHG,南方中证新能源ETF,1
预制菜,159928.XSHE,汇添富中证主要消费ETF,1
风电,516160.XSHG,南方中证新能源ETF,1
飞行汽车,159688.XSHE,华安恒生互联网科技业ETF(QDII),1
高压快充,159755.XSHE,广发国证新能源车电池ETF,1
高端装备,516020.XSHG,华宝化工ETF,1
高铁,516950.XSHG,基建ETF,1
鸡肉,159825.XSHE,富国中证农业主题ETF,1
黄金概念,518880.XSHG,华安黄金ETF,1
