order_book_id,etf_name,turnover
520720.XSHG,港股汽车ETF国泰,69376159.0
159740.XSHE,恒生科技ETF大成,1557013945.078
159741.XSHE,恒生科技ETF嘉实,157187001.36
515450.XSHG,红利低波50ETF南方,349166409.0
562550.XSHG,绿电ETF华夏,371943448.0
563020.XSHG,红利低波ETF易方达,318201528.0
159825.XSHE,农业ETF富国,96054659.9
516310.XSHG,银行ETF易方达,136354118.0
159128.XSHE,港股科技ETF天弘,185706853.146
516810.XSHG,农业ETF华夏,100040795.0
513380.XSHG,恒生科技ETF广发,319158533.0
513730.XSHG,东南亚科技ETF华泰柏瑞,179775751.0
513090.XSHG,香港证券ETF易方达,5527825384.0
159887.XSHE,银行ETF富国,92035075.9
515300.XSHG,300红利低波ETF嘉实,109420085.0
516370.XSHG,电力ETF汇添富,93447922.0
512040.XSHG,价值100ETF富国,156587503.0
159751.XSHE,港股通科技ETF鹏华,63301530.4
562960.XSHG,绿色电力ETF易方达,151257520.0
159636.XSHE,港股通科技30ETF工银,882827078.9
159625.XSHE,绿色电力ETF嘉实,136908867.9
513020.XSHG,港股科技ETF国泰,258603638.0
159269.XSHE,港股通科技ETF南方,175998516.5
513150.XSHG,港股通科技ETF华泰柏瑞,119864489.0
512820.XSHG,银行ETF汇添富,114298933.0
510900.XSHG,恒生中国企业ETF易方达,143445659.0
513660.XSHG,恒生ETF华夏,65061266.0
520600.XSHG,港股通汽车ETF广发,234367276.0
513560.XSHG,香港科技ETF兴银,84530402.0
159125.XSHE,港股通科技ETF招商,60788586.392
159920.XSHE,恒生ETF华夏,580328306.178
159232.XSHE,自由现金流ETF南方,236327086.51
510230.XSHG,金融ETF国泰,62283207.0
513860.XSHG,港股通科技ETF海富通,350072886.0
159222.XSHE,自由现金流ETF易方达,60152739.3
159158.XSHE,电力ETF景顺,87463861.035
159323.XSHE,港股通汽车ETF华夏,201345713.96
560080.XSHG,中药ETF汇添富,75730947.0
159747.XSHE,香港科技ETF南方,92009874.1
513600.XSHG,恒生指数ETF南方,120945123.0
159235.XSHE,中证现金流ETF大成,68252222.2
515210.XSHG,钢铁ETF国泰,93131910.0
159263.XSHE,价值ETF易方达,304348371.29
159750.XSHE,港股科技50ETF招商,72474437.5
159101.XSHE,港股通科技ETF华夏,284684711.964
563760.XSHG,全指现金流ETF中银,99092039.0
513980.XSHG,港股科技ETF景顺,1191788361.0
159209.XSHE,红利质量ETF招商,75540116.2
159850.XSHE,恒生国企ETF华夏,75925703.636
159320.XSHE,电网设备ETF广发,119337321.0
513190.XSHG,港股通金融ETF华夏,286143680.0
159201.XSHE,自由现金流ETF华夏,390539653.692
513550.XSHG,港股通50ETF华泰柏瑞,103172613.0
159185.XSHE,港股通信息技术ETF鹏华,323984904.2
513290.XSHG,纳指生物科技ETF汇添富,76313935.0
517520.XSHG,黄金股ETF永赢,212359822.0
159399.XSHE,现金流ETF国泰,164198629.7
563390.XSHG,全指现金流ETF华泰柏瑞,60300035.0
561380.XSHG,电网设备ETF国泰,215356487.0
513140.XSHG,港股通金融ETF华泰柏瑞,60664862.0
562660.XSHG,中证2000ETF华夏,79367997.0
159562.XSHE,黄金股ETF华夏,115635739.724
159707.XSHE,地产ETF华宝,80812114.6
526000.XSHG,港股通信息技术ETF华夏,213506804.0
516970.XSHG,基建ETF广发,52967093.0
159996.XSHE,家电ETF国泰,152936114.277
159196.XSHE,港股通信息技术ETF易方达,632331425.8
512570.XSHG,证券ETF易方达,112966659.0
159928.XSHE,消费ETF汇添富,263058731.5
513030.XSHG,德国ETF华安,92742561.0
560090.XSHG,证券ETF汇添富,97875538.0
513750.XSHG,港股通非银ETF广发,590084385.0
512070.XSHG,证券保险ETF易方达,323745353.0
159692.XSHE,证券ETF东财,83058031.0
159221.XSHE,现金流ETF嘉实,98126508.2
512200.XSHG,房地产ETF南方,150227841.0
159841.XSHE,证券ETF天弘,184729177.02
159842.XSHE,券商ETF银华,259976102.5
512000.XSHG,券商ETF华宝,763178119.0
520710.XSHG,N港股通信息技术ETF广发,115702735.0
512880.XSHG,证券ETF国泰,1385419087.0
515650.XSHG,消费50ETF富国,75353217.0
560390.XSHG,电网设备ETF易方达,200063119.0
513080.XSHG,法国ETF华安,62470018.0
159766.XSHE,旅游ETF富国,171450669.999
515060.XSHG,房地产ETF华夏,78637904.0
159552.XSHE,中证2000增强ETF招商,66137510.481
159326.XSHE,电网设备ETF华夏,1357626985.013
517130.XSHG,N云计算ETF嘉实,103842832.0
159993.XSHE,证券ETF鹏华,72371462.2
159131.XSHE,港股通信息技术ETF华宝,2121323779.38
513240.XSHG,港股通信息技术ETF华安,133084947.0
510210.XSHG,上证指数ETF富国,668225520.0
159198.XSHE,港股通信息技术ETF富国,247959549.839
159680.XSHE,中证1000增强ETF招商,88120270.981
159758.XSHE,红利质量ETF华夏,59687125.4
159980.XSHE,有色ETF大成,341362798.563
511880.XSHG,银华日利ETF,13542855471.0
515170.XSHG,食品饮料ETF华夏,121413242.0
511990.XSHG,华宝添益ETF,11031116313.0
511850.XSHG,招商财富宝ETF,117829530.0
159531.XSHE,中证2000ETF南方,157461335.8
526050.XSHG,港股通信息技术ETF招商,128147492.0
560710.XSHG,船舶ETF富国,199664275.0
513800.XSHG,日本东证指数ETF南方,130245966.0
562510.XSHG,旅游ETF华夏,78078914.0
159985.XSHE,豆粕ETF华夏,193103458.951
512690.XSHG,酒ETF鹏华,767470650.0
563300.XSHG,中证2000ETF华泰柏瑞,576180844.0
159628.XSHE,国证2000ETF万家,56114326.684
563380.XSHG,航空航天ETF华泰柏瑞,50449778.0
512710.XSHG,军工龙头ETF富国,268176864.0
561910.XSHG,电池ETF招商,170174159.0
510980.XSHG,上证指数ETF汇添富,111254232.0
159790.XSHE,碳中和ETF华夏,51120403.689
520510.XSHG,港股通医疗ETF华夏,86503714.0
159566.XSHE,储能电池ETF易方达,597874443.4
159387.XSHE,创业板新能源ETF国泰,382233967.1
510760.XSHG,上证指数ETF国泰,411854016.0
159561.XSHE,德国ETF嘉实,266149452.4
159905.XSHE,红利ETF工银,75627450.5
159876.XSHE,有色ETF华宝,73591923.8
159934.XSHE,黄金ETF易方达,665368136.997
518660.XSHG,黄金ETF工银,178893779.0
518850.XSHG,黄金ETF华夏,266318489.0
560860.XSHG,工业有色ETF万家,256396821.0
518600.XSHG,金ETF广发,113802410.0
159796.XSHE,电池ETF汇添富,354909466.522
159880.XSHE,有色ETF鹏华,65578611.933
518680.XSHG,金ETF富国,148079794.0
518800.XSHG,黄金ETF国泰,619765565.0
518880.XSHG,黄金ETF华安,2427380926.0
159366.XSHE,港股医疗ETF永赢,74487368.8
159845.XSHE,中证1000ETF华夏,3002638129.872
159937.XSHE,黄金ETF博时,657794448.1
512170.XSHG,医疗ETF华宝,525640631.0
159638.XSHE,高端装备ETF嘉实,63046993.6
561160.XSHG,电池ETF富国,81206328.0
159883.XSHE,医疗器械ETF永赢,68130596.1
159629.XSHE,中证1000ETF富国,396322014.046
560010.XSHG,中证1000ETF广发,639386917.0
159633.XSHE,中证1000ETF易方达,650022206.783
515700.XSHG,新能源车ETF平安,78534838.0
512100.XSHG,中证1000ETF南方,3957072409.0
515030.XSHG,新能源车ETF华夏,224832004.0
159529.XSHE,标普消费ETF景顺,576885135.2
159241.XSHE,航空航天ETF天弘,82745170.8
159368.XSHE,创业板新能源ETF华夏,320363264.5
159857.XSHE,光伏ETF天弘,160258078.5
159828.XSHE,医疗ETF国泰,51949713.9
159922.XSHE,中证500ETF嘉实,642843289.553
512400.XSHG,有色金属ETF南方,863503387.0
512940.XSHG,有色ETF华安,51591981.0
159875.XSHE,新能源ETF嘉实,86848751.8
159652.XSHE,有色ETF汇添富,179190674.1
510180.XSHG,上证180ETF华安,93736916.0
515790.XSHG,光伏ETF华泰柏瑞,546256582.0
510510.XSHG,中证500ETF广发,109731883.0
159715.XSHE,稀土ETF易方达,84414880.767
510500.XSHG,中证500ETF南方,3439513885.0
159227.XSHE,航空航天ETF华夏,231609275.471
512500.XSHG,中证500ETF华夏,743191757.0
516150.XSHG,稀土ETF嘉实,235644348.0
159929.XSHE,医药ETF汇添富,90357619.3
515800.XSHG,中证800ETF汇添富,75821390.0
510580.XSHG,中证500ETF易方达,253404735.0
159157.XSHE,有色金属ETF天弘,178662017.148
516520.XSHG,智能驾驶ETF华泰柏瑞,102246491.0
159267.XSHE,航天ETF华安,128356936.8
159839.XSHE,生物医药ETF汇添富,61547840.6
159713.XSHE,稀土ETF富国,89603911.764
516650.XSHG,有色金属ETF华夏,171898901.0
515970.XSHG,工程机械ETF华夏,107594489.0
561330.XSHG,矿业ETF国泰,58056826.0
510330.XSHG,沪深300ETF华夏,274635211.0
513060.XSHG,恒生医疗ETF博时,551543998.0
510050.XSHG,上证50ETF华夏,2381957844.0
516090.XSHG,新能源ETF易方达,73969354.0
515390.XSHG,沪深300ETF华安,78768070.0
159919.XSHE,沪深300ETF嘉实,472782889.804
560530.XSHG,中证A500ETF摩根,92286051.0
589960.XSHG,科创新能源ETF易方达,56288851.0
510100.XSHG,上证50ETF易方达,564071005.0
516160.XSHG,新能源ETF南方,298285185.0
159925.XSHE,沪深300ETF南方,78031844.488
512670.XSHG,国防ETF鹏华,74688989.0
515120.XSHG,创新药ETF广发,487266870.0
159565.XSHE,汽车零部件ETF易方达,61218569.1
512680.XSHG,军工ETF广发,92155620.0
516780.XSHG,稀土ETF华泰柏瑞,108917021.0
513700.XSHG,港股通医药ETF鹏华,112635985.0
512090.XSHG,MSCIA股ETF易方达,142682811.0
510300.XSHG,沪深300ETF华泰柏瑞,2443095510.0
159595.XSHE,中证A50ETF大成,151482985.541
159859.XSHE,生物医药ETF天弘,173520257.262
159339.XSHE,A500ETF银华,63192742.656
